SKU,Short description,Tags
STO-ITEM-2020-00001,"<ul>\n<li>সাদা গোলমরিচ ৫০ গ্রাম</li>\n</ul>\n
","গরম,মশলা,মসলা,gorom,mosla,gulmorich,golmoris,moshla,"
STO-ITEM-2020-00002,"<ul>\n<li>সাদা গোলমরিচ ১০০ গ্রাম</li>\n</ul>\n
","মরিচ,গরম,মশলা,মসলা,gorom,mosla,gulmorich,golmoris,moshla,"
STO-ITEM-2020-00003,"<ul>\n<li>কালো গোলমরিচ ৫০ গ্রাম</li>\n</ul>\n
","মরিচ,মসলা,গরম,মশলা,gorom,mosla,gulmorich,golmoris,moshla,"
STO-ITEM-2020-00004,"<ul>\n<li>কালো গোলমরিচ ১০০ গ্রাম</li>\n</ul>\n
","মরিচ,মসলা,গরম,মশলা,gorom,mosla,gulmorich,golmoris,moshla,"
STO-ITEM-2020-00005,"<ul>\n<li>জিরা ৫০ গ্রাম</li>\n</ul>\n
","যিরা,জীরা,গরম,মসলা,মশলা,jera,jira,gorom,moshla,mosla,"
STO-ITEM-2020-00006,"<ul>\n<li>জিরা ১০০ গ্রাম</li>\n</ul>\n
","যিরা,জীরা,গরম,মসলা,মশলা,jeera,jera,jira,gorom,moshla,mosla,"
STO-ITEM-2020-00007,"<ul>\n<li>লবঙ্গ ৫০ গ্রাম</li>\n</ul>\n
","লং,নাকফুল,গরম,মসলা,মশলা,moshla,mosla,nakful,gorom,long,lon,"
STO-ITEM-2020-00008,"<ul>\n<li>লবঙ্গ ১০০ গ্রাম</li>\n</ul>\n
","লং,নাকফুল,গরম,মসলা,মশলা,moshla,mosla,nakful,gorom,long,lon,"
STO-ITEM-2020-00009,"<ul>\n<li>এলাচি ৫০ গ্রাম</li>\n</ul>\n

","এলাচ,এলাইচি,গরম,মসলা,মশলা,elaichi,alachi,mosla,moshla,gorom,ilach"
STO-ITEM-2020-00010,"<ul>\n<li>এলাচি ১০০ গ্রাম</li>\n</ul>\n

","এলাচ,এলাইচি,গরম,মসলা,মশলা,elaichi,alachi,mosla,moshla,gorom,ilach"
STO-ITEM-2020-00011,"<ul>\n<li>দারুচিনি ৫০ গ্রাম</li>\n</ul>\n

","দারচিনি,গরম,মশলা,মসলা,gorom,mosla,Darchini,darchine,moshla,"
STO-ITEM-2020-00012,"<ul>\n<li>দারুচিনি ১০০ গ্রাম</li>\n</ul>\n

","দারচিনি,গরম,মশলা,মসলা,gorom,mosla,Darchini,darchine,moshla,"
STO-ITEM-2020-00013,<ul>\n<li>তেজপাতা ১০০ গ্রাম</li>\n</ul>\n,"তেসপাতা,মসলা,গরম,মশলা,gorom,moshla,mosla,Tezpata,tej,taj,tespata,tes"
STO-ITEM-2020-00015,<ul>\n<li>তেজপাতা ৫০ গ্রাম</li>\n</ul>\n,"তেসপাতা,মসলা,গরম,মশলা,gorom,moshla,mosla,Tezpata,tej,taj,tespata,tes"
STO-ITEM-2020-00016,<ul>\n<li>জয়ফল ৫০ গ্রাম</li>\n</ul>\n,"জায়ফল,যায়ফল,গরম,মসলা,মশলা,gorom,mosla,Joifol,jayfal,joy,"
STO-ITEM-2020-00017,<ul>\n<li>জয়েত্রিক ২৫ গ্রাম</li>\n</ul>\n,"জয়েত্রি,গরম,মসলা,মশলা,gorom,mosla,moshla,Joitrik,joyetrik,gorom,joy,"
STO-ITEM-2020-00018,<ul>\n<li>জয়েত্রিক ৫০ গ্রাম</li>\n</ul>\n,"জয়েত্রি,গরম,মসলা,মশলা,gorom,mosla,moshla,Joitrik,joyetrik,gorom,joy,"
STO-ITEM-2020-00019,<ul>\n<li>হলুদের গুরা ৬০ গ্রাম</li>\n</ul>\n," টারমারিক,পাওডার,পাউডার,হলূদ,মশলা,মসলা,mosla,moshla,hulud,termeric,pewder,powdar,"
STO-ITEM-2020-00020,<ul>\n<li>হলুদের গুরা ১৫০ গ্রাম</li>\n</ul>\n," টারমারিক,পাওডার,পাউডার,হলূদ,মশলা,মসলা,mosla,moshla,hulud,termeric,pewder,pawder,"
STO-ITEM-2020-00021,<ul>\n<li>ধনিয়ার গুরা ৬০ গ্রাম</li>\n</ul>\n,"মসলা,দনিয়া,গরম,মশলা,gorom,mosla,donia,gorom,dhonia,moshla,"
STO-ITEM-2020-00022,<ul>\n<li>ধনিয়ার গুরা ১৫০ গ্রাম</li>\n</ul>\n,"মসলা,গুড়া,দনিয়া,গরম,মশলা,gorom,mosla,donia,gorom,dhonia,moshla,"
STO-ITEM-2020-00023,<ul>\n<li>মরিচের গুরা ৬০ গ্রাম</li>\n</ul>\n,"মরিছ,গূরা,মসলা,মশলা,চিলি,mosla,moshla,gura,moris,chili"
STO-ITEM-2020-00024,<ul>\n<li>মরিচের গুরা ১৫০ গ্রাম</li>\n</ul>\n,"মরিছ,গূরা,মসলা,মশলা,চিলি,mosla,moshla,gura,moris,chili"
STO-ITEM-2020-00025,<ul>\n<li>কাঠবাদাম ১০০ গ্রাম</li>\n</ul>\n,"আলমন্ড,নাট,কাট,kat,Badam,kath,"
STO-ITEM-2020-00026,<ul>\n<li>কাজুবাদাম ১০০ গ্রাম</li>\n</ul>\n,"কেশুনাট,নাট,কাযু,kaj,Badam,kazu,"
STO-ITEM-2020-00027,<ul>\n<li>পেস্তা বাদাম ৫০ গ্রাম</li>\n</ul>\n,"পেশ্তা,পিস্তা,pesta,pista,"
STO-ITEM-2020-00028,<ul>\n<li>পেস্তা বাদাম ৫০ গ্রাম</li>\n</ul>\n,"পেশ্তা,পিস্তা,pesta,pista,"
STO-ITEM-2020-00029,<ul>\n<li>কিসমিস প্রিমিয়াম ১০০ গ্রাম</li>\n</ul>\n,"কিশমিশ,মসলা,মশলা,বাদাম,badam,mosla,moshla,kishmish"
STO-ITEM-2020-00030,<ul>\n<li>কিসমিস ১০০ গ্রাম</li>\n</ul>\n,"কিশমিশ,মসলা,মশলা,বাদাম,badam,mosla,moshla,kishmish"
STO-ITEM-2020-00031,<ul>\n<li>আলু বোখারা ১০০ গ্রাম</li>\n</ul>\n,"বোখরা,বাদাম,মশলা,মসলা,Alu,bokhara,bukhara,badam,mosla,moshla,alo"
STO-ITEM-2020-00032,<ul>\n<li> জাফরান ১ গ্রাম</li>\n</ul>\n,"যাফরান,জাফ,মসলা,মশলা,badam,mosla,moshla"
STO-ITEM-2020-00034,<ul>\n<li>আলিশান বাসমতি রাইস ১ কেজি</li>\n</ul>\n,"আলিসান,রাইচ,বাশমতি,চাল,chal,basmoti,basmote,ric,cal"
STO-ITEM-2020-00043,<ul>\n<li>ফ্রেশ ইলিশ মাছ</li>\n</ul>\n,"ফিশ,ফিস,ilish,mach,fish,fis"
STO-ITEM-2020-00045,<ul>\n<li>গরুর কলিজা</li>\n</ul>\n,"মাংস,মাংশ,Kolija,goru,mangso,cow,goru"
STO-ITEM-2020-00046,<ul>\n<li>গরুর মগজ ১ পিচ</li>\n</ul>\n,"মাংস,মাংশ,Mogoj,mangso,goru,cow"
STO-ITEM-2020-00047,<ul>\n<li>গরুর জিহ্বা</li>\n</ul>\n,"মাংস,মাংশ, Gorur Jhiba,mangso,goru,cow"
STO-ITEM-2020-00048,<ul>\n<li>গরুর কিডনি</li>\n</ul>\n,"গরু,মাংস,মাংশ, Gorur Kidni,mangso,goru,cow"
STO-ITEM-2020-00049,<ul>\n<li>গরুর প্রিমিয়াম লিভার ১ কেজি</li>\n</ul>\n,"গরু,মাংস,মাংশ,  Gorur Liver,mangso,goru,cow"
STO-ITEM-2020-00050,<ul>\n<li>গরুর পায়া ২ পিচ</li>\n</ul>\n,"গরু,মাংস,মাংশ,  Gorur Paya,mangso,goru,cow"
STO-ITEM-2020-00053,<ul>\n<li>এ সি আই পিওর লবন ১ কেজি</li>\n</ul>\n,"সল্ট,নুন,lobon,solt,Labon,aci,sal"
STO-ITEM-2020-00054,<ul>\n<li>এ সি আই পিওর সুজি ৫০০ গ্রাম</li>\n</ul>\n,"শুজি,suji,suzi,soji"
STO-ITEM-2020-00055,<ul>\n<li>এ সি আই পিওর আটা ১ কেজি</li>\n</ul>\n,"ata,chal,at,"
STO-ITEM-2020-00056,<ul>\n<li>এ সি আই পিওর আটা ২ কেজি</li>\n</ul>\n,"পিওর,আটা,pure,ata,pure"
STO-ITEM-2020-00059,<ul>\n<li>এ সি আই পিওর ব্রাউন আটা ১ কেজি</li>\n</ul>\n,"এ,সি,আই,পিওর,ব্রাউন,আটা,ডায়বেটিক,আটা,Aci,Pure,Brown,Atta,ata,diabetic,aci,brown,"
STO-ITEM-2020-00073,<ul>\n<li>রূপচাঁদা সয়াবিন তেল ১ লিটার</li>\n</ul>\n,"tel,রূপচাঁন্দা,সয়বিন,অয়েল,Rupchanda,soyabean,rupchada"
STO-ITEM-2020-00074,<ul>\n<li>রূপচাঁদা  সয়াবিন তেল ২ লিটার</li>\n</ul>\n,"tel,রূপচাঁন্দা,সয়বিন,অয়েল,rupchada,soyabean"
STO-ITEM-2020-00075,<ul>\n<li>রূপচাঁদা  সয়াবিন তেল ৫ লিটার</li>\n</ul>\n ,"soyabean,tel,rupchada,রূপচাঁন্দা,সয়বিন,অয়েল"
STO-ITEM-2020-00076,<ul>\n<li>রূপচাঁদা চিনিগুরা প্রিমিয়াম রাইস ১ কেজি</li>\n</ul>\n  ,"রূপচান্দা,চিনিগূড়া,চাল,পোলাও,পোলার,চাল,Chinigura,Premiam,cal,polaw,polar"
STO-ITEM-2020-00091,<ul>\n<li>লাইফবয় সোপ বার কেয়ার ১৫০ গ্রাম</li>\n</ul>\n ,"সাবান,Life,boy,shaban,saban"
STO-ITEM-2020-00092,<ul>\n<li>লাইফবয় সোপ বার কেয়ার ১০০ গ্রাম</li>\n</ul>\n ,"সাবান,Life,shaban,saban"
STO-ITEM-2020-00095,<ul>\n<li>লাক্স সোপ রোজ এন্ড ভিটামিন ই ১০০ গ্রাম</li>\n</ul>\n ,"লাকস,সাবান,ই,saban,lax,sop,shaban,bar,care"
STO-ITEM-2020-00096,<ul>\n<li>লাক্স সোপ রোজ এন্ড ভিটামিন ই ১৫০ গ্রাম</li>\n</ul>\n ,"লাকস,সাবান,ই,saban,lax,sop,shaban,bar,care"